ID	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	Aadorf	0.8265	-0.0616	1	4	2.5
2	Aadorf=>Elgg	0.8199	-0.0583	1	2	0.9524
3	Aadorf=>Guntershausen	0.8322	-0.0652	1	2	1.0476
4	Elgg	0.8136	-0.0551	1	4	1.4872
5	Guntershausen	0.8381	-0.0685	1	4	2
6	Aarau	0.0935	0.2045	5	16	1.5951
7	Aarau=>Brugg AG	0.1782	0.2033	5	2	0.1175
8	Aarau=>Lenzburg	0.1351	0.1858	5	2	0.3189
9	Aarau=>Olten	-0.0079	0.2227	5	2	0.199
10	Aarau=>Rupperswil	0.1286	0.1988	5	2	0.4431
11	Aarau=>Schönenwerd SO	0.0182	0.2202	5	2	0.5661
12	Aarau=>Sissach	0.0008	0.2549	5	2	0.0884
13	Aarau=>Wildegg	0.1477	0.2021	5	2	0.2261
14	Aarau=>Zürich HB	0.3094	0.1284	5	2	0.0713
15	Brugg AG	0.2112	0.202	5	15	1.5877
16	Lenzburg	0.1681	0.1705	5	20	2.7608
17	Olten	-0.0982	0.2385	5	36	2.592
18	Rupperswil	0.1396	0.1968	5	6	2.837
19	Schönenwerd SO	0.0086	0.222	5	4	2.2829
20	Sissach	-0.0469	0.2804	5	10	2.0102
21	Wildegg	0.1547	0.2016	5	8	1.8833
22	Zürich HB	0.4476	0.0797	5	38	3.04
23	Aarberg	-0.7175	0.2845	11	4	2.5
24	Aarberg=>Bargen	-0.7268	0.2806	11	2	1.5263
25	Aarberg=>Lyss Grien	-0.7073	0.2878	11	2	0.9737
26	Bargen	-0.7312	0.2786	11	4	3
27	Lyss Grien	-0.6975	0.2907	11	4	2.5
28	Aarburg-Oftringen	-0.121	0.2062	12	6	2.5
29	Aarburg-Oftringen=>Olten	-0.1133	0.2165	12	2	0.7252
30	Aarburg-Oftringen=>Rothrist	-0.1386	0.2065	12	2	0.5476
31	Aarburg-Oftringen=>Zofingen	-0.1108	0.1897	12	2	0.6345
32	Rothrist	-0.1501	0.2068	12	5	1.2881
33	Zofingen	-0.1015	0.1757	12	14	2.3629
34	Aathal	0.6087	0.0251	1	4	2.4937
35	Aathal=>Uster	0.6036	0.0275	1	2	0.8202
36	Aathal=>Wetzikon	0.614	0.0223	1	2	0.8494
37	Uster	0.5958	0.0313	1	8	1.5202
38	Wetzikon	0.6221	0.0182	1	10	1.6842
39	Acla da Fontauna	0.7763	-0.2912	13	4	1.8333
40	Acla da Fontauna=>Disentis/Mustér	0.7829	-0.2869	13	2	0.625
41	Acla da Fontauna=>Segnas	0.7649	-0.298	13	2	1
42	Disentis/Mustér	0.8106	-0.27	13	8	1.2928
43	Segnas	0.7532	-0.3039	13	4	2
44	Aefligen	-0.4423	0.262	7	4	2.0648
45	Aefligen=>Kirchberg-Alchenflüh	-0.4413	0.2555	7	2	0.9874
46	Aefligen=>Utzenstorf	-0.4431	0.2702	7	2	0.9545
47	Kirchberg-Alchenflüh	-0.441	0.2498	7	4	1.8068
48	Utzenstorf	-0.4438	0.2778	7	4	1.3514
49	Aesch	-0.1336	0.4	5	5	2.1956
50	Aesch=>Dornach-Arlesheim	-0.1247	0.3948	5	2	1.1605
51	Aesch=>Duggingen	-0.1437	0.4048	5	2	1.4659
52	Dornach-Arlesheim	-0.118	0.3909	5	4	2.1602
53	Duggingen	-0.1482	0.4064	5	4	3
54	Affoltern am Albis	0.3473	0.0629	10	4	1.3547
55	Affoltern am Albis=>Hedingen	0.3495	0.0676	10	2	0.9749
56	Affoltern am Albis=>Mettmenstetten	0.3438	0.0564	10	2	0.7609
57	Hedingen	0.3513	0.0719	10	4	1.8372
58	Mettmenstetten	0.3423	0.0535	10	4	2
59	Aigle	-0.9351	-0.386	2	14	2.4396
60	Aigle-Hôpital	-0.903	-0.4086	15	5	2.4257
61	Aigle=>Bex	-0.9217	-0.4044	2	2	0.347
62	Aigle=>Martigny	-0.8782	-0.4376	2	2	0.0834
63	Aigle=>Montreux	-0.9682	-0.3517	2	2	0.2951
64	Aigle=>Roche VD	-0.9705	-0.3513	2	2	0.5142
65	Aigle=>St-Maurice	-0.9134	-0.4264	2	2	0.2183
66	Aigle=>Villeneuve	-0.9945	-0.327	2	2	0.2094
67	Aigle-Hôpital=>Aigle	-0.9227	-0.3946	2	2	1.3618
68	Aigle-Hôpital=>St-Triphon-Village	-0.8906	-0.4169	15	2	1.4844
69	St-Triphon-Village	-0.8845	-0.421	15	5	2.569
70	Bex	-0.9123	-0.4169	2	6	0.942
71	Martigny	-0.862	-0.4525	2	21	2.736
72	Montreux	-1.0228	-0.2947	2	22	3.2535
73	Roche VD	-0.9715	-0.3502	2	4	2
74	St-Maurice	-0.9021	-0.4473	2	10	1.1267
75	Villeneuve	-0.9969	-0.3241	2	9	1.9794
76	Airolo	0.3134	-0.4101	8	6	0.8088
77	Airolo=>Ambrì-Piotta	0.3131	-0.4177	8	2	0.4813
78	Airolo=>Bellinzona	0.3071	-0.4682	8	2	0.0335
79	Airolo=>Göschenen	0.3146	-0.3985	8	2	0.3299
80	Ambrì-Piotta	0.3132	-0.4277	8	4	1.3111
81	Bellinzona	0.3017	-0.5194	8	13	0.8643
82	Göschenen	0.3162	-0.3696	8	8	0.9945
83	Albeuve	-1.1526	-0.3074	14	4	3
84	Albeuve=>Lessoc	-1.1486	-0.3138	14	2	1.5
85	Albeuve=>Neirivue	-1.1558	-0.3008	14	2	1.5
86	Lessoc	-1.1466	-0.3163	14	4	2.5
87	Neirivue	-1.1571	-0.2972	14	4	2.5
88	Allaman	-1.203	-0.0058	6	7	1.6551
89	Allaman=>Coppet	-1.262	-0.0103	6	2	0.0817
90	Allaman=>Etoy	-1.2002	-0.0054	6	2	1.2571
91	Allaman=>Morges	-1.1916	-0.0051	6	2	0.381
92	Allaman=>Rolle	-1.2126	-0.0067	6	2	0.6667
93	Coppet	-1.2654	-0.0107	6	9	1.6363
94	Etoy	-1.1992	-0.0049	6	4	2.9804
95	Morges	-1.1803	-0.004	6	18	2.0624
96	Rolle	-1.2165	-0.007	6	4	1.2247
97	Allières	-1.1154	-0.3417	2	4	1.75
98	Allières=>Les Cases	-1.1141	-0.3417	2	2	1.0217
99	Allières=>Les Sciernes	-1.1167	-0.3424	2	2	0.7283
100	Les Cases	-1.1124	-0.3409	2	4	2
101	Les Sciernes	-1.1192	-0.3425	2	5	1.5833
102	Alp Grüm	1.4598	0.2825	3	9	0.5237
103	Alp Grüm=>Cavaglia	1.4545	0.292	3	2	0.1607
104	Alp Grüm=>Ospizio Bernina	1.4662	0.2726	3	2	0.2634
105	Alp Grüm=>Pontresina	1.4708	0.221	3	2	0.0409
106	Alp Grüm=>Poschiavo	1.4474	0.3013	3	2	0.05
107	Cavaglia	1.448	0.3038	3	6	0.94
108	Ospizio Bernina	1.4698	0.2666	3	6	0.9123
109	Pontresina	1.4731	0.209	3	17	2.0489
110	Poschiavo	1.434	0.321	3	11	0.9986
111	Alpnach Dorf	-0.048	-0.0392	8	8	2.9167
112	Alpnach Dorf=>Alpnachstad	-0.0424	-0.0365	8	2	0.8482
113	Alpnach Dorf=>Hergiswil	-0.0242	-0.0276	8	2	0.1587
114	Alpnach Dorf=>Sarnen	-0.0685	-0.0472	8	2	0.2143
115	Alpnach Dorf=>Sarnen Nord	-0.0537	-0.0419	8	2	0.7828
116	Alpnachstad	-0.0356	-0.0334	8	4	1.2232
117	Hergiswil	-0.0142	-0.0228	8	10	1.8849
118	Sarnen	-0.0747	-0.049	8	8	1.5088
119	Sarnen Nord	-0.0611	-0.0446	8	4	1.4615
120	Alpnachstad=>Alpnach Dorf	-0.0454	-0.0376	8	2	1.2879
121	Alpnachstad=>Hergiswil	-0.0243	-0.0279	8	2	0.6212
122	Altdorf	0.2961	-0.2765	8	4	1.3123
123	Altdorf=>Erstfeld	0.2975	-0.2829	8	2	0.5215
124	Altdorf=>Flüelen	0.2941	-0.2669	8	2	0.6973
125	Erstfeld	0.3002	-0.296	8	4	1.2113
126	Flüelen	0.2922	-0.2577	8	12	1.3511
127	Altendorf	0.6853	-0.025	10	4	2.5
128	Altendorf=>Lachen	0.6967	-0.0237	10	2	1.4652
129	Altendorf=>Pfäffikon SZ	0.6707	-0.0266	10	2	0.757
130	Lachen	0.7023	-0.023	10	6	2.7988
131	Pfäffikon SZ	0.6404	-0.0297	10	21	3.2008
132	Altmatt	0.4253	-0.1009	10	4	1.975
133	Altmatt=>Biberbrugg	0.4396	-0.0963	10	2	0.6729
134	Altmatt=>Rothenthurm	0.4164	-0.1033	10	2	0.8583
135	Biberbrugg	0.474	-0.0845	10	11	1.4166
136	Rothenthurm	0.4012	-0.1081	10	9	1.9319
137	Altnau	1.031	-0.2395	9	4	2
138	Altnau=>Güttingen	1.0321	-0.236	9	2	1.5395
139	Altnau=>Landschlacht	1.0292	-0.2424	9	2	1.4605
140	Güttingen	1.0321	-0.2341	9	4	2.5
141	Landschlacht	1.0279	-0.2435	9	4	3
142	Altstätten SG	1.0847	-0.08	9	8	1.6152
143	Altstätten SG=>Buchs SG	1.0833	-0.0651	9	2	0.211
144	Altstätten SG=>Heerbrugg	1.0824	-0.0917	9	2	0.3895
145	Altstätten SG=>Oberriet	1.0859	-0.0707	9	2	0.4006
146	Altstätten SG=>Rebstein-Marbach	1.085	-0.0857	9	2	0.9497
147	Buchs SG	1.08	-0.0367	9	8	0.8523
148	Heerbrugg	1.0809	-0.0976	9	8	1.6461
149	Oberriet	1.0865	-0.0652	9	4	0.6789
150	Rebstein-Marbach	1.0847	-0.0879	9	4	2.1552
151	Alvaneu	1.3831	0.0807	3	4	1.625
152	Alvaneu=>Filisur	1.3857	0.0843	3	2	0.75
153	Alvaneu=>Surava	1.3809	0.0785	3	2	0.9286
154	Filisur	1.3904	0.0913	3	13	1.3165
155	Surava	1.3785	0.0753	3	5	1.2649
156	Ambrì-Piotta=>Airolo	0.3134	-0.4235	8	2	0.6492
157	Ambrì-Piotta=>Faido	0.3127	-0.4309	8	2	0.6057
158	Faido	0.3118	-0.4508	8	4	1.2303
159	Amriswil	0.984	-0.1883	9	8	1.7501
160	Amriswil=>Oberaach	0.9803	-0.1872	9	2	1.1635
161	Amriswil=>Romanshorn	0.9965	-0.1921	9	2	0.5718
162	Amriswil=>Sulgen	0.9656	-0.1792	9	2	0.1763
163	Amriswil=>Weinfelden	0.9644	-0.1818	9	2	0.2779
164	Oberaach	0.9794	-0.1868	9	4	2.507
165	Romanshorn	1.0179	-0.197	9	12	1.5147
166	Sulgen	0.9644	-0.1785	9	10	2.4143
167	Weinfelden	0.9294	-0.1699	9	16	1.7498
168	Andelfingen	0.6958	0.0262	1	8	1.5338
169	Andelfingen=>Henggart	0.6987	0.0218	1	2	0.7812
170	Andelfingen=>Marthalen	0.695	0.03	1	2	0.4979
171	Andelfingen=>Neuhausen	0.6892	0.0353	1	2	0.2159
172	Andelfingen=>Winterthur	0.6997	0.0126	1	2	0.2223
173	Henggart	0.6997	0.0193	1	4	2.5
174	Marthalen	0.6929	0.0353	1	4	1.2323
175	Neuhausen	0.6795	0.0475	1	11	3.0722
176	Winterthur	0.7052	-0.007	1	27	2.3397
177	Andermatt	0.3302	-0.3819	13	10	0.7489
178	Andermatt=>Brig Bahnhofplatz	0.1175	-0.3914	13	2	0.0361
179	Andermatt=>Disentis/Mustér	0.5218	-0.3376	13	2	0.0418
180	Andermatt=>Göschenen	0.3262	-0.3785	13	2	0.2538
181	Andermatt=>Hospental	0.2906	-0.4	13	2	0.4214
182	Andermatt=>Nätschen	0.4014	-0.3758	13	2	0.2005
183	Brig Bahnhofplatz	-0.3669	-0.4137	13	8	0.6089
184	Hospental	0.28	-0.4044	13	4	1.4762
185	Nätschen	0.4448	-0.3718	13	4	1.225
186	Arbon	1.0546	-0.1781	9	4	2.5
187	Arbon=>Arbon Seemoosriet	1.0499	-0.1834	9	2	1.2468
188	Steinach	1.0584	-0.1711	9	4	2.2532
189	Arbon Seemoosriet	1.0485	-0.1843	9	4	2.5
190	Arbon Seemoosriet=>Arbon	1.0528	-0.1803	9	2	1.5065
191	Arbon Seemoosriet=>Egnach	1.0439	-0.1873	9	2	0.9935
192	Egnach	1.039	-0.1898	9	4	2.0065
193	Ardon	-0.7986	-0.4371	2	5	1.5666
194	Ardon=>Chamoson-St-Pierre-de-Clages	-0.8067	-0.4413	2	2	1.2343
195	Ardon=>Châteauneuf-Conthey	-0.7911	-0.4327	2	2	1.3222
196	Ardon=>Riddes	-0.8166	-0.4454	2	2	0.52
197	Chamoson-St-Pierre-de-Clages	-0.8093	-0.4427	2	4	2.7893
198	Châteauneuf-Conthey	-0.7889	-0.431	2	4	2.4722
199	Riddes	-0.8173	-0.4456	2	5	2.6603
200	Arnegg	0.9724	-0.1403	9	4	1.8333
201	Arnegg=>Gossau SG	0.9704	-0.1366	9	2	0.7
202	Arnegg=>Hauptwil	0.9736	-0.1439	9	2	0.8333
203	Gossau SG	0.9653	-0.1258	1	8	1.6392
204	Hauptwil	0.9754	-0.1485	9	4	1.0333
205	Arnex	-1.1572	0.0484	6	4	1.5833
206	Arnex=>Croy-Romainmôtier	-1.1592	0.0473	6	2	0.7262
207	Arnex=>La Sarraz	-1.1556	0.0494	6	2	0.7238
208	Croy-Romainmôtier	-1.1629	0.0451	6	7	2.504
209	La Sarraz	-1.1504	0.0511	6	6	1.425
210	Arosa	1.3069	-0.0375	3	2	1.1098
211	Arosa=>Litzirüti	1.3067	-0.0375	3	2	1.1126
212	Litzirüti	1.304	-0.0365	3	4	0.7649
213	Arth-Goldau	0.2775	-0.1362	8	20	1.2628
214	Arth-Goldau=>Bellinzona	0.2875	-0.294	8	2	0.0468
215	Arth-Goldau=>Flüelen	0.2916	-0.2526	8	2	0.0614
216	Arth-Goldau=>Immensee	0.2346	-0.0969	8	2	0.198
217	Arth-Goldau=>Küssnacht am Rigi	0.2113	-0.0894	8	2	0.117
218	Arth-Goldau=>Luzern	0.1036	-0.0286	8	2	0.0501
219	Arth-Goldau=>Rothenthurm	0.3787	-0.1133	10	2	0.094
220	Arth-Goldau=>Rotkreuz	0.2494	-0.0655	8	2	0.1262
221	Arth-Goldau=>Schwyz	0.2829	-0.1843	8	2	0.1889
222	Arth-Goldau=>Steinen	0.281	-0.1676	8	2	0.3399
223	Arth-Goldau=>Steinerberg	0.3283	-0.1267	10	2	0.5527
224	Immensee	0.2251	-0.0881	8	6	1.7949
225	Küssnacht am Rigi	0.2003	-0.0818	8	8	1.1887
226	Luzern	0.0335	0.015	8	29	1.6497
227	Rotkreuz	0.2257	-0.0056	8	18	1.9277
228	Schwyz	0.2836	-0.1906	8	6	1.5594
229	Steinen	0.2816	-0.1733	8	4	2.2031
230	Steinerberg	0.3311	-0.1265	10	4	1.6902
231	Au SG	1.0781	-0.1075	9	4	2.6885
232	Au SG=>Heerbrugg	1.0794	-0.1038	9	2	0.8147
233	Au SG=>St. Margrethen	1.0759	-0.1107	9	2	0.7651
234	St. Margrethen	1.0718	-0.1167	9	10	1.8344
235	Au ZH	0.5178	-0.0088	10	4	2
236	Au ZH=>Horgen	0.5078	-0.005	10	2	1.0068
237	Au ZH=>Wädenswil	0.5292	-0.0124	10	2	0.8202
238	Horgen	0.4969	-0.0015	10	8	2.1427
239	Wädenswil	0.5458	-0.0175	10	14	1.9986
240	Ausserberg	-0.6101	-0.3338	2	7	1.6245
241	Ausserberg=>Brig	-0.6092	-0.3487	2	2	0.131
242	Ausserberg=>Eggerberg	-0.6103	-0.3374	2	2	0.9865
243	Ausserberg=>Goppenstein	-0.6099	-0.3297	2	2	0.3813
244	Ausserberg=>Hohtenn	-0.6102	-0.3297	2	2	0.3336
245	Brig	-0.6088	-0.3592	2	9	1.0097
246	Eggerberg	-0.6102	-0.3408	2	4	1.6735
247	Goppenstein	-0.6107	-0.3155	2	6	0.8751
248	Hohtenn	-0.6101	-0.3252	2	4	1.4263
249	Auvernier	-0.9415	0.2936	7	6	2.0481
250	Auvernier=>Bôle	-0.9507	0.3049	7	2	0.6514
251	Auvernier=>Colombier	-0.9676	0.2765	6	2	1.1027
252	Auvernier=>Neuchâtel-Serrières	-0.9231	0.296	7	2	1.0507
253	Bôle	-0.9527	0.3081	7	4	1.8333
254	Colombier	-0.9702	0.2746	6	4	3
255	Neuchâtel-Serrières	-0.9167	0.2963	7	4	2.1488
256	Avenches	-0.9432	0.1706	11	10	1.777
257	Avenches=>Corcelles-Nord	-0.9811	0.1446	11	2	0.2546
258	Avenches=>Domdidier	-0.9598	0.1611	11	2	1.1479
259	Avenches=>Faoug	-0.9264	0.1794	11	2	0.6859
260	Avenches=>Murten/Morat	-0.8835	0.2	11	2	0.1758
261	Avenches=>Payerne	-0.9987	0.1246	11	2	0.152
262	Corcelles-Nord	-0.9823	0.1442	11	6	3.1973
263	Domdidier	-0.9624	0.1596	11	6	3.1987
264	Faoug	-0.9197	0.1826	11	4	1.8241
265	Murten/Morat	-0.8805	0.2014	11	10	1.7416
266	Payerne	-1.0021	0.1216	11	12	1.5233
267	Baar	0.3589	0.0138	10	10	2.1093
268	Baar Neufeld	0.3456	0.0131	10	3	1.6967
269	Baar=>Horgen Oberdorf	0.3806	0.014	10	2	0.2974
270	Baar=>Thalwil	0.4072	0.0152	10	2	0.1834
271	Baar=>Zug	0.335	0.0135	10	2	0.7231
272	Baar=>Zürich Enge	0.435	0.0385	10	2	0.0674
273	Baar Lindenpark	0.338	0.0129	10	4	2.5847
274	Baar Lindenpark=>Zug	0.3296	0.0132	10	2	1.2955
275	Zug	0.3229	0.0132	10	21	4.5028
276	Baar Neufeld=>Baar	0.3522	0.0136	10	2	0.9559
277	Horgen Oberdorf	0.4032	0.0135	10	4	1.3126
278	Thalwil	0.4503	0.0164	10	19	2.9846
279	Zürich Enge	0.446	0.0422	10	10	1.8777
280	Bad Ragaz	1.1351	0.0025	3	6	1.872
281	Bad Ragaz=>Landquart	1.1705	0.0055	3	2	0.4339
282	Bad Ragaz=>Maienfeld	1.1524	0.0046	3	2	1.2275
283	Bad Ragaz=>Sargans	1.1096	-0	3	2	0.6125
284	Landquart	1.1885	0.0067	3	19	2.5462
285	Maienfeld	1.1565	0.0046	3	4	2.5
286	Sargans	1.0672	-0.004	3	15	1.7362
287	Bad Zurzach	0.4674	0.19	5	4	1.5933
288	Bad Zurzach=>Rekingen AG	0.484	0.185	5	2	0.7405
289	Bad Zurzach=>Rietheim	0.4571	0.1935	5	2	1.5067
290	Rekingen AG	0.493	0.182	5	4	1.8919
291	Rietheim	0.4515	0.1946	5	4	2.5
292	Baden	0.3026	0.1706	5	10	1.6845
293	Baden=>Brugg AG	0.2455	0.1907	5	2	0.2188
294	Baden=>Dietikon	0.3229	0.1462	5	2	0.1929
295	Baden=>Turgi	0.2901	0.1821	5	2	0.4663
296	Baden=>Wettingen	0.3191	0.1625	5	2	0.7734
297	Baden=>Zürich HB	0.3796	0.1224	5	2	0.1253
298	Dietikon	0.3261	0.1423	5	13	1.9069
299	Turgi	0.2818	0.1906	5	6	1.6242
300	Wettingen	0.3237	0.1604	5	8	2.1714
301	Baldegg	0.0621	0.1006	12	5	2.2823
302	Baldegg Kloster	0.058	0.0979	12	5	3.2676
303	Baldegg=>Baldegg Kloster	0.059	0.0988	12	2	1.2254
304	Baldegg=>Gelfingen	0.0649	0.102	12	2	0.7588
305	Baldegg Kloster=>Baldegg	0.0607	0.0996	12	2	1.507
306	Baldegg Kloster=>Hochdorf	0.055	0.0957	12	2	0.743
307	Hochdorf	0.0489	0.0919	12	4	0.9417
308	Gelfingen	0.0705	0.1054	12	4	2.2517
309	Balerna	0.277	-0.6384	8	4	1.7954
310	Balerna=>Chiasso	0.2766	-0.6374	8	2	0.7957
311	Balerna=>Mendrisio	0.2773	-0.6386	8	2	0.7363
312	Chiasso	0.2772	-0.636	8	6	0.7527
313	Mendrisio	0.278	-0.6376	8	10	1.8389
314	Ballwil	0.0359	0.0833	12	4	1.8555
315	Ballwil=>Eschenbach	0.0325	0.0811	12	2	0.964
316	Ballwil=>Hochdorf Schönau	0.0392	0.0853	12	2	1.1583
317	Eschenbach	0.0292	0.0787	12	4	1.9238
318	Hochdorf Schönau	0.0415	0.0869	12	4	1.8305
319	Balsthal	-0.2447	0.3182	5	2	2
320	Balsthal=>Thalbrücke	-0.2449	0.3179	5	2	2
321	Thalbrücke	-0.2449	0.3168	5	4	3
322	Bargen=>Aarberg	-0.7221	0.2827	11	2	1.4737
323	Bargen=>Kallnach	-0.7411	0.2743	11	2	1.0263
324	Kallnach	-0.7508	0.269	11	4	1.2376
325	Basel Bad Bf	-0.0478	0.3374	5	2	0.414
326	Basel Bad Bf=>Basel SBB	-0.0481	0.3368	5	2	0.3904
327	Basel SBB	-0.0489	0.336	5	21	1.5324
328	Basel Dreispitz	-0.089	0.3704	5	4	2.0181
329	Basel Dreispitz=>Basel SBB	-0.0756	0.3594	5	2	0.7588
330	Basel Dreispitz=>Münchenstein	-0.0975	0.3775	5	2	1.4072
331	Münchenstein	-0.1025	0.3813	5	4	2.5646
332	Basel SBB=>Basel Bad Bf	-0.0478	0.3376	5	2	0.2181
333	Basel SBB=>Basel Dreispitz	-0.0871	0.3693	5	2	0.5262
334	Basel SBB=>Basel St. Johann	-0.0482	0.338	5	2	0.2644
335	Basel SBB=>Brugg AG	0.2039	0.206	5	2	0.0219
336	Basel SBB=>Laufen	-0.1898	0.4101	5	2	0.0738
337	Basel SBB=>Liestal	-0.0436	0.3092	5	2	0.1516
338	Basel SBB=>Muttenz	-0.0314	0.3309	5	2	0.3075
339	Basel SBB=>Olten	-0.0817	0.2703	5	2	0.0647
340	Basel SBB=>Rheinfelden	0.0152	0.3243	5	2	0.1128
341	Basel SBB=>Zürich HB	0.1804	0.2178	5	2	0.0417
342	Basel St. Johann	-0.0485	0.3384	5	2	1.2083
343	Laufen	-0.2151	0.4228	5	6	1.2385
344	Liestal	-0.0422	0.302	5	12	2.3047
345	Muttenz	-0.028	0.3297	5	5	1.9329
346	Rheinfelden	0.031	0.3211	5	12	2.6857
347	Basel St. Johann=>Basel SBB	-0.0488	0.3378	5	2	1.2083
348	Bassecourt	-0.3858	0.543	7	4	1.4907
349	Bassecourt=>Courfaivre	-0.3851	0.5311	7	2	1.1865
350	Bassecourt=>Glovelier	-0.3862	0.5542	7	2	0.7487
351	Courfaivre	-0.3845	0.5276	7	4	2.9318
352	Glovelier	-0.3867	0.5593	7	4	1.4107
353	Bassersdorf	0.5813	0.0539	1	6	2.1277
354	Bassersdorf=>Effretikon	0.5936	0.0478	1	2	0.7149
355	Bassersdorf=>Kloten	0.5708	0.0596	1	2	0.4967
356	Bassersdorf=>Zürich Flughafen	0.572	0.0562	1	2	0.5068
357	Effretikon	0.6206	0.0337	1	10	1.6292
358	Kloten	0.5607	0.0651	1	4	1.25
359	Zürich Flughafen	0.5621	0.0586	1	8	1.141
360	Bauma	0.7175	-0.0497	1	4	0.9821
361	Bauma=>Saland	0.7214	-0.0513	1	2	0.6815
362	Bauma=>Steg	0.7108	-0.0468	1	2	0.4673
363	Saland	0.725	-0.0525	1	4	0.9823
364	Steg	0.7077	-0.0456	1	4	1.5833
365	Bavois	-1.1216	0.0819	6	4	3
366	Bavois=>Chavornay	-1.1182	0.0853	6	2	0.75
367	Bavois=>Eclépens	-1.1252	0.078	6	2	1.5
368	Chavornay	-1.1102	0.0923	6	8	2.0595
369	Eclépens	-1.1268	0.0752	6	4	2.3333
370	Bazenheid	0.8886	-0.0831	1	4	1.75
371	Bazenheid=>Lütisburg	0.8903	-0.0822	1	2	0.8267
372	Bazenheid=>Wil	0.8859	-0.0848	1	2	0.6495
373	Lütisburg	0.893	-0.08	1	4	1.8333
374	Wil	0.8764	-0.0899	1	10	1.5534
375	Beinwil am See	0.1029	0.1287	12	4	0.9447
376	Beinwil am See=>Birrwil	0.1106	0.1348	12	2	0.5242
377	Beinwil am See=>Mosen	0.0945	0.1219	12	2	0.6989
378	Birrwil	0.1149	0.1382	12	4	1.2238
379	Mosen	0.0911	0.1197	12	4	1.8364
380	Belfaux CFF	-0.9415	0.0817	11	4	1.5833
381	Belfaux CFF=>Fribourg/Freiburg	-0.9344	0.078	11	2	0.6746
382	Belfaux CFF=>Grolley	-0.9471	0.085	11	2	0.7183
383	Fribourg/Freiburg	-0.9138	0.0662	6	19	2.0082
384	Grolley	-0.959	0.0921	11	4	0.7397
385	Belfaux-Village	-0.9106	0.1105	11	4	1.4225
386	Belfaux-Village=>Givisiez	-0.9118	0.1026	11	2	1.4304
387	Belfaux-Village=>Pensier	-0.9094	0.1183	11	2	0.696
388	Givisiez	-0.9124	0.0989	11	4	2.5
389	Pensier	-0.9069	0.1287	11	4	1.1962
390	Bellach	-0.5046	0.3711	7	4	2.5068
391	Bellach=>Selzach	-0.5121	0.3721	7	2	0.909
392	Bellach=>Solothurn Allmend	-0.4985	0.3703	7	2	1.4932
393	Selzach	-0.5217	0.3725	7	4	1.9725
394	Solothurn Allmend	-0.4953	0.3698	7	4	3
395	Bellinzona=>Airolo	0.3134	-0.4162	8	2	0.0196
396	Bellinzona=>Arth-Goldau	0.2895	-0.3245	8	2	0.0369
397	Bellinzona=>Castione-Arbedo	0.3038	-0.5109	8	2	0.3944
398	Bellinzona=>Flüelen	0.2935	-0.2929	8	2	0.0319
399	Bellinzona=>Giubiasco	0.3039	-0.5585	8	2	0.4423
400	Bellinzona=>Locarno	0.3103	-0.6182	8	2	0.0366
401	Bellinzona=>Lugano	0.2928	-0.5735	8	2	0.0617
402	Castione-Arbedo	0.3041	-0.5091	8	4	1.1819
403	Giubiasco	0.3043	-0.5699	8	8	1.3373
404	Locarno	0.3112	-0.6242	8	3	1.2397
405	Lugano	0.2876	-0.6065	8	10	1.1401
406	Belmont-sur-Montreux	-1.0392	-0.3042	2	3	2
407	Belmont-sur-Montreux=>Vuarennes	-1.0369	-0.3033	2	2	1.3333
408	Châtelard VD	-1.0419	-0.3058	2	2	2
409	Vuarennes	-1.0363	-0.3025	2	3	2.6667
410	Belp	-0.6219	0.1141	4	6	1.6197
411	Belp Steinbach	-0.6247	0.1193	4	4	2.0255
412	Belp=>Bern	-0.6168	0.1308	4	2	0.2722
413	Belp=>Toffen	-0.6215	0.1001	4	2	0.7056
414	Belp Steinbach=>Belp	-0.6234	0.117	4	2	0.701
415	Belp Steinbach=>Kehrsatz	-0.6265	0.1226	4	2	0.8703
416	Kehrsatz	-0.627	0.1247	4	5	2.5048
417	Bern	-0.6062	0.168	4	45	2.8726
418	Toffen	-0.6214	0.0942	4	4	1.4864
419	Benken SG	0.8365	-0.0236	1	4	2.3333
420	Benken SG=>Schänis	0.8393	-0.0218	1	2	0.75
421	Benken SG=>Uznach	0.8333	-0.0259	1	2	0.75
422	Schänis	0.8442	-0.0175	1	6	2
423	Uznach	0.8264	-0.0309	1	10	1.7976
424	Benzenschwil	0.207	0.0753	5	4	2.5
425	Benzenschwil=>Muri AG	0.2055	0.0811	5	2	0.8333
426	Benzenschwil=>Mühlau	0.2084	0.0703	5	2	1.5
427	Muri AG	0.2039	0.0903	5	8	1.6668
428	Mühlau	0.2088	0.0676	5	4	2.5
429	Berg	0.9499	-0.2075	9	4	1.6667
430	Berg=>Kehlhof	0.9468	-0.2018	9	2	0.8333
431	Berg=>Siegershausen	0.9525	-0.2122	9	2	0.8333
432	Kehlhof	0.9447	-0.1981	9	4	1.75
433	Siegershausen	0.9542	-0.2153	9	4	1.8933
434	Bergün/Bravuogn	1.4253	0.1324	3	9	1.0007
435	Bergün/Bravuogn=>Filisur	1.4192	0.1246	3	2	0.4595
436	Bergün/Bravuogn=>Pontresina	1.4548	0.1797	3	2	0.0542
437	Bergün/Bravuogn=>Preda	1.4293	0.1369	3	2	0.3961
438	Bergün/Bravuogn=>Samedan	1.4482	0.1604	3	2	0.0521
