PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_SCHL_EINF,SBB,33,Killwangen - Zürich Altstetten,STRECKE,SCHL,Schlieren,EINF,Einfang (Abzw),240519,Schlieren,Ident,3509,393,676137.19,250305.57,None,11,*,Switzerland,*,247,247,SBB CFF FFS,None,"8.44721801239, 47.3991705389","8.46253811172, 47.3988304738"
SBB_SILB_DT,SBB,33,Killwangen - Zürich Altstetten,STRECKE,SILB,Silberen (Abzw),DT,Dietikon,214774,Spreitenbach,Ident,15592,390.4,671557.94,252714.63,None,11,*,Switzerland,None,4040,4040,SBB CFF FFS,None,"8.38694816601, 47.4213498066","8.40495794918, 47.4057701595"
SBB_OTH_HDK,SBB,34,Brugg - Othmarsingen - Hendschiken,STRECKE,OTH,Othmarsingen,HDK,Hendschiken,17179,Othmarsingen,Ident,2105,419.3,658582.33,251023.1,None,11,*,Switzerland,*,4205,4205,SBB CFF FFS,None,"8.21477937034, 47.4074188664","8.20736941693, 47.3894189473"
SBB_MAEG_GMT,SBB,35,Olten Ost - Heitersberg - Killwangen,STRECKE,MAEG,Mägenwil,GMT,Gruemet (Abzw),136901,Mägenwil,Ident,2106,416,660110.24,251825.65,None,11,*,Switzerland,*,4032,4032,SBB CFF FFS,None,"8.23512909312, 47.414499108","8.26865867143, 47.4268093683"
SBB_DUED_SCMI,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,DUED,Düdingen,SCMI,Schmitten,62918,Düdingen,Ident,4101,595.6,581018.26,188908.5,None,11,*,Switzerland,*,2293,2293,SBB CFF FFS,None,"7.18975165221, 46.8510384423","7.25392062832, 46.8629286711"
SBB_PAL_OR,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,PAL,Palézieux,OR,Oron,29156,Oron,Ident,4014,669.2,553918.81,154784.42,None,11,*,Switzerland,*,5805,5805,SBB CFF FFS,None,"6.83787516645, 46.54275614","6.83710518903, 46.5725363182"
SBB_THO_OWA,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,THO,Thörishaus Station,OWA,Oberwangen,91444,Köniz,Ident,4104,586.1,593782.45,194837.98,None,11,*,Switzerland,*,355,355,SBB CFF FFS,None,"7.35702989452, 46.9046190604","7.36219973241, 46.9145589052"
SBB_HRDF_HBK,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,HRDF,Hardfeld (Spw),HBK,Hindelbank,61615,Hindelbank,Ident,8000,521.7,606788.35,209643,*,11,None,Switzerland,None,409,409,SBB CFF FFS,None,"7.52794826078, 47.0377879922","7.54540765767, 47.0495576794"
SBB_LTH_ROG,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,LTH,Langenthal,ROG,Roggwil-Wynau,50600,Langenthal,Ident,8100,472.3,626214.63,229653.68,None,11,*,Switzerland,*,329,329,SBB CFF FFS,None,"7.78470394962, 47.217297514","7.81490448392, 47.251627113"
SBB_LYS_BDF,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,LYS,Lyssach,BDF,Burgdorf,61586,Lyssach,Ident,8004,517.9,610839.31,212536.08,None,11,None,Switzerland,*,415,415,SBB CFF FFS,None,"7.58131696899, 47.063757754","7.62168641843, 47.0606881787"
