PID,ISB,Strecke_Nummer,Strecke_Bezeichnung,Strecke_Art,BP_Von_Abschnitt,BP_Von_Abschnitt_Bezeichnung,BP_Bis_Abschnitt,BP_Bis_Abschnitt_Bezeichnung,Anzahl_Zuege,gdname,gd_ident,didok,KOORDZ,KOORDY,KOORDX,Reiner Betriebspunkt,TU Nummer,Bedienpunkt Cargo,land,Haltestelle,Gde Nummer,gdnr,TU Abkuerzung,Tarifhaltestelle,geopos_von,geopos_bis
SBB_GESE_CHY,SBB,1,Genève Aéroport - Lausanne,STRECKE,GESE,Genève-Sécheron,CHY,Chambésy,126307,Genève,Ident,16283,390.4,500153.08,119825.45,None,11,None,Switzerland,*,6621,6621,SBB CFF FFS,None,"6.14454714955, 46.2224480511","6.14732717469, 46.2423883571"
SBB_GIBU_ROL,SBB,1,Genève Aéroport - Lausanne,STRECKE,GIBU,Gilly-Bursinel,ROL,Rolle,97943,Bursinel,Ident,1032,429.4,512995.17,144376.65,*,11,None,Switzerland,None,5852,5852,SBB CFF FFS,None,"6.30636755445, 46.4450640594","6.3364074853, 46.4627442908"
SBB_MIES_TAN,SBB,1,Genève Aéroport - Lausanne,STRECKE,MIES,Mies,TAN,Tannay,126101,Mies,Ident,1014,394.7,502222.94,128400.9,None,11,None,Switzerland,*,5723,5723,SBB CFF FFS,None,"6.16956925257, 46.2998837999","6.18111951391, 46.3076442488"
SBB_MOR_STJ,SBB,1,Genève Aéroport - Lausanne,STRECKE,MOR,Morges,STJ,Morges-St-Jean,121566,Morges,Ident,1037,381.2,527498.18,151525.28,None,11,*,Switzerland,*,5642,5642,SBB CFF FFS,None,"6.49396657295, 46.5110943408","6.5080466068, 46.5181943179"
SBB_PER_ALL,SBB,1,Genève Aéroport - Lausanne,STRECKE,PER,Perroy,ALL,Allaman,98005,Perroy,Ident,1034,419.5,517386.3,147223.17,*,11,None,Switzerland,None,5860,5860,SBB CFF FFS,None,"6.3629973972, 46.4712243911","6.3997071623, 46.4757445942"
SBB_PRN_GLA,SBB,1,Genève Aéroport - Lausanne,STRECKE,PRN,Prangins,GLA,Gland,98503,Prangins,Ident,1040,417,508196.02,138993.53,*,11,None,Switzerland,None,5725,5725,SBB CFF FFS,None,"6.24498850107, 46.3960039685","6.26913796108, 46.4199840811"
SBB_TUI_GDBE,SBB,1,Genève Aéroport - Lausanne,STRECKE,TUI,Les Tuileries,GDBE,Genthod-Bellevue,126311,Bellevue,Ident,1011,389.2,500417.99,122879.65,None,11,None,Switzerland,*,6606,6606,SBB CFF FFS,None,"6.14732757249, 46.2499580317","6.15395779335, 46.2567477219"
SBB_JON_SJ,SBB,2,St-Jean / Furet - Lancy-Bâtie - Chêne-Bourg-Fr. - (Annemasse),STRECKE,JON,Jonction (Genève),SJ,St-Jean (bif),25814,Genève,Ident,1041,385.5,498286.22,117566.22,None,11,*,Switzerland,None,6621,6621,SBB CFF FFS,None,"6.12084808769, 46.2018478104","6.12771746891, 46.2055677891"
SBB_LABA_LAPR,SBB,2,St-Jean / Furet - Lancy-Bâtie - Chêne-Bourg-Fr. - (Annemasse),STRECKE,LABA,Lancy-Bâtie (bif),LAPR,Lancy-Pont-Rouge,25795,Lancy,Ident,16281,384,498594.18,116230.21,*,11,None,Switzerland,None,6628,6628,SBB CFF FFS,None,"6.12512743566, 46.1898778174","6.12495526234, 46.1859404067"
SBB_RUS_SY,SBB,3,La Plaine Frontière - Genève,STRECKE,RUS,Russin,SY,Satigny,40988,Russin,Ident,1002,377.9,490285.68,116142.9,None,11,None,Switzerland,*,6637,6637,SBB CFF FFS,None,"6.01754977864, 46.1877882306","6.03749960767, 46.2142381831"
SBB_VMC_COI,SBB,3,La Plaine Frontière - Genève,STRECKE,VMC,Vernier-Meyrin Cargo,COI,Vernier,40986,Meyrin,Ident,15778,434.1,495614.6,119897.7,None,11,*,Switzerland,None,6630,6630,SBB CFF FFS,None,"6.0857199133, 46.2224082276","6.09389003989, 46.2207279844"
SBB_ZIM_VM,SBB,3,La Plaine Frontière - Genève,STRECKE,ZIM,Zimeysa,VM,Meyrin,40990,Satigny,div,1000,429.4,494070.2,119798.94,None,11,None,Switzerland,*,6630,6638,SBB CFF FFS,None,"6.06572961816, 46.2212782881","6.07690984868, 46.2223483406"
SBB_CL_MX,SBB,4,Lausanne - St. Maurice,STRECKE,CL,Clarens,MX,Montreux,56090,Montreux,Ident,1203,396.3,558282.71,143633.51,None,11,*,Switzerland,*,5886,5886,SBB CFF FFS,None,"6.89577416732, 46.4427363866","6.91043416362, 46.4358764283"
SBB_MX_TER,SBB,4,Lausanne - St. Maurice,STRECKE,MX,Montreux,TER,Territet,60062,Montreux,Ident,1300,392.3,559404.11,142863.23,None,11,*,Switzerland,*,5886,5886,SBB CFF FFS,None,"6.91043416362, 46.4358764283","6.92269446132, 46.4263764483"
SBB_RIV_STSA,SBB,4,Lausanne - St. Maurice,STRECKE,RIV,Rivaz,STSA,St-Saphorin,82741,Lac Léman (VD),div,1126,377.7,549767.66,147195.92,None,11,None,Switzerland,*,5609,9758,SBB CFF FFS,None,"6.78458512784, 46.4741959259","6.79702513762, 46.4725859812"
SBB_STSA_VV,SBB,4,Lausanne - St. Maurice,STRECKE,STSA,St-Saphorin,VV,Vevey,82745,Lac Léman (VD),div,1127,376.2,550721.58,147009.05,None,11,None,Switzerland,*,5610,9758,SBB CFF FFS,None,"6.79702513762, 46.4725859812","6.84344455538, 46.4629962321"
SBB_TER_VEY,SBB,4,Lausanne - St. Maurice,STRECKE,TER,Territet,VEY,Veytaux-Chillon,60066,Lac Léman (VD),div,1301,380.8,560339.41,141800.9,None,11,None,Switzerland,*,5886,9758,SBB CFF FFS,None,"6.92269446132, 46.4263764483","6.92785479694, 46.4176161625"
SBB_BDR_CLB,SBB,6,Renens - Yverdon - Neuchâtel - Biel,STRECKE,BDR,Boudry,CLB,Colombier,43879,Boudry,Ident,4208,492.4,554059.61,201107.2,None,11,*,Switzerland,*,6404,6404,SBB CFF FFS,None,"6.83505431971, 46.9594460636","6.84888396056, 46.9676359617"
SBB_CC_LLA,SBB,6,Renens - Yverdon - Neuchâtel - Biel,STRECKE,CC,Concise,LLA,La Lance (diag),32082,Lac de Neuchâtel (VD),div,4203,429.3,545434.01,189109.66,None,11,None,Switzerland,*,5554,9154,SBB CFF FFS,None,"6.72317472087, 46.8508755224","6.74136494021, 46.8595357903"
SBB_ECLS_ECL,SBB,6,Renens - Yverdon - Neuchâtel - Biel,STRECKE,ECLS,Eclépens sud,ECL,Eclépens,57343,Eclépens,Ident,18421,450.1,532091.53,166880.19,None,11,*,Switzerland,None,5482,5482,SBB CFF FFS,None,"6.55154509687, 46.6496942223","6.55242491391, 46.6571843051"
SBB_GRS_ONB,SBB,6,Renens - Yverdon - Neuchâtel - Biel,STRECKE,GRS,Grandson,ONB,Onnens-Bonvillars,32227,Lac de Neuchâtel (VD),div,4201,435.3,539188.47,184211.52,None,11,*,Switzerland,*,5561,9154,SBB CFF FFS,None,"6.64194298034, 46.8062746752","6.68993413176, 46.8325152002"
SBB_LLA_VAU,SBB,6,Renens - Yverdon - Neuchâtel - Biel,STRECKE,LLA,La Lance (diag),VAU,Vaumarcus,32083,Lac de Neuchâtel (VD),div,15758,437.4,546829.86,190059.86,None,11,*,Switzerland,None,5554,9154,SBB CFF FFS,None,"6.74136494021, 46.8595357903","6.75759512351, 46.8776359333"
SBB_TWN_TUE,SBB,6,Renens - Yverdon - Neuchâtel - Biel,STRECKE,TWN,Twann,TUE,Tüscherz,46438,Bielersee (BE),div,4228,433.6,578579.54,215888.91,None,11,*,Switzerland,*,756,9149,SBB CFF FFS,None,"7.15649883305, 47.0936548007","7.1973078466, 47.1149947654"
SBB_BELL_BELE,SBB,7,Biel Mett - Solothurn,STRECKE,BELL,Bellach,BELE,Bellach Industrie,56602,Bellach,Ident,205,433,605245.52,228664.36,None,11,*,Switzerland,*,2542,2542,SBB CFF FFS,None,"7.50786664414, 47.2088961768","7.49534638898, 47.2085261387"
SBB_PIE_BIBD,SBB,7,Biel Mett - Solothurn,STRECKE,PIE,Pieterlen,BIBD,Biel/Bienne Bözingenfeld/Champ,83543,Pieterlen,Ident,200,435.6,592537.48,224500.99,None,11,*,Switzerland,*,392,392,SBB CFF FFS,None,"7.34019644684, 47.1714251426","7.29459729258, 47.1583849693"
SBB_SW_SOAD,SBB,7,Biel Mett - Solothurn,STRECKE,SW,Solothurn West,SOAD,Solothurn Allmend,56602,Solothurn,Ident,206,432.6,607070.12,228422.76,None,11,None,Switzerland,*,2601,2601,SBB CFF FFS,None,"7.53194669287, 47.2067062508","7.52143688631, 47.2088661856"
SBB_EG_HRK,SBB,8,Solothurn - Olten,STRECKE,EG,Egerkingen,HRK,Härkingen Post,43383,Egerkingen,Ident,214,435.2,627244.32,240504.95,None,11,*,Switzerland,*,2401,2401,SBB CFF FFS,None,"7.79895396666, 47.3148570917","7.81845403287, 47.3216070118"
SBB_HRK_HAE,SBB,8,Solothurn - Olten,STRECKE,HRK,Härkingen Post,HAE,Hägendorf,43383,Härkingen,Ident,232,431.1,628715.08,241262.34,None,11,*,Switzerland,None,2402,2402,SBB CFF FFS,None,"7.81845403287, 47.3216070118","7.84381405913, 47.3302573476"
SBB_NB_OEN,SBB,8,Solothurn - Olten,STRECKE,NB,Niederbipp,OEN,Oensingen,42995,Niederbipp,Ident,211,468,619386.47,235529.97,None,11,*,Switzerland,*,981,981,SBB CFF FFS,None,"7.69481442016, 47.2703871142","7.70985453082, 47.2850170066"
SBB_WAA_NB,SBB,8,Solothurn - Olten,STRECKE,WAA,Wangen an der Aare,NB,Niederbipp,42980,Wangen an der Aare,Ident,210,422.9,616478.13,231247.51,None,11,*,Switzerland,*,992,992,SBB CFF FFS,None,"7.65622530299, 47.231947095","7.69481442016, 47.2703871142"
SBB_BRT_CR,SBB,9,Daillens - Vallorbe Frontière,STRECKE,BRT,Bretonnières,CR,Croy-Romainmôtier,18960,Bretonnières,Ident,1105,673.5,526301.3,174214.94,None,11,None,Switzerland,*,5748,5748,SBB CFF FFS,None,"6.47473518659, 46.7150539002","6.47812521581, 46.6967041225"
SBB_CR_AX,SBB,9,Daillens - Vallorbe Frontière,STRECKE,CR,Croy-Romainmôtier,AX,Arnex,18958,Croy,div,1106,642.2,526535.47,172172.02,None,11,*,Switzerland,*,5761,5752,SBB CFF FFS,None,"6.47812521581, 46.6967041225","6.51890509252, 46.6980742045"
SBB_BOV_CVT,SBB,10,Auvernier - Les Verrières Frontière,STRECKE,BOV,Boveresse,CVT,Couvet CFF,2177,Val-de-Travers,Ident,4213,835.4,535772.77,196781.36,*,11,None,Switzerland,None,6512,6512,SBB CFF FFS,None,"6.59542423965, 46.9190162549","6.63403500081, 46.9303761939"
SBB_LBA_BOV,SBB,10,Auvernier - Les Verrières Frontière,STRECKE,LBA,Les Bayards,BOV,Boveresse,2177,Val-de-Travers,Ident,4212,934.5,530300.46,195700.98,*,11,None,Switzerland,None,6512,6512,SBB CFF FFS,None,"6.52375279502, 46.9087461254","6.59542423965, 46.9190162549"
SBB_TR_CVT,SBB,10,Auvernier - Les Verrières Frontière,STRECKE,TR,Travers,CVT,Couvet CFF,2177,Val-de-Travers,Ident,4215,749,541979.22,199318.17,None,11,*,Switzerland,*,6512,6512,SBB CFF FFS,None,"6.6765762976, 46.9424063665","6.63403500081, 46.9303761939"
SBB_VER_LBA,SBB,10,Auvernier - Les Verrières Frontière,STRECKE,VER,Les Verrières,LBA,Les Bayards,2177,Les Verrières,Ident,4211,931.1,526916.42,195361.22,None,11,*,Switzerland,None,6511,6511,SBB CFF FFS,None,"6.47939261038, 46.9053259518","6.52375279502, 46.9087461254"
SBB_CHN_CP,SBB,11,Neuchâtel-Vauseyon (bif) - La Chaux de Fonds - Le Locle Frontière,STRECKE,CHN,Chambrelien,CP,Corcelles-Peseux,26847,Rochefort,Ident,4234,685.2,552331.82,201972.36,None,11,*,Switzerland,*,6413,6413,SBB CFF FFS,None,"6.81226410919, 46.9671059769","6.88381357009, 46.9833458596"
SBB_LOC_CRET,SBB,11,Neuchâtel-Vauseyon (bif) - La Chaux de Fonds - Le Locle Frontière,STRECKE,LOC,Le Locle,CRET,Le Crêt-du-Locle,32364,Le Locle,Ident,4316,945.4,547390.93,212103.08,None,11,*,Switzerland,*,6436,6436,SBB CFF FFS,None,"6.74616583583, 47.0578549346","6.78519511503, 47.0775944213"
SBB_CORM_CTY,SBB,12,Biel - Sonceboz - La Chaux de Fonds,STRECKE,CORM,Cormoret,CTY,Courtelary,25578,Cormoret,Ident,4308,710.6,570850.67,224735.69,None,11,None,Switzerland,*,432,432,SBB CFF FFS,None,"7.0541294762, 47.172933048","7.06880898045, 47.1756131281"
SBB_FRIN_MAH,SBB,12,Biel - Sonceboz - La Chaux de Fonds,STRECKE,FRIN,Frinvillier-Taubenloch,MAH,Mahlenwald,29250,Sauge,Ident,4301,555.1,586269.6,224292.06,None,11,None,Switzerland,*,449,449,SBB CFF FFS,None,"7.25752811056, 47.1694446771","7.26245776746, 47.1544047045"
SBB_RE_SV,SBB,12,Biel - Sonceboz - La Chaux de Fonds,STRECKE,RE,Renan BE,SV,Sonvilier,25080,Renan (BE),Ident,4312,907,561055.79,219542.12,None,11,None,Switzerland,*,441,441,SBB CFF FFS,None,"6.92538088458, 47.1257131711","6.96935979129, 47.1413230028"
SBB_SV_STI,SBB,12,Biel - Sonceboz - La Chaux de Fonds,STRECKE,SV,Sonvilier,STI,St-Imier,25080,Sonvilier,Ident,4311,835.8,564403.18,221256.56,None,11,None,Switzerland,*,445,445,SBB CFF FFS,None,"6.96935979129, 47.1413230028","7.00122935357, 47.1516928121"
SBB_VT_CORM,SBB,12,Biel - Sonceboz - La Chaux de Fonds,STRECKE,VT,Villeret,CORM,Cormoret,25578,Villeret,Ident,4309,763.4,568232.15,223332.71,None,11,None,Switzerland,*,448,448,SBB CFF FFS,None,"7.0196891614, 47.1601927665","7.0541294762, 47.172933048"
SBB_PON_MB,SBB,13,Sonceboz - Moutier,STRECKE,PON,Pontenet,MB,Malleray-Bévilard,20060,Valbirse,Ident,135,712,586032.24,232007.16,None,11,None,Switzerland,*,717,717,SBB CFF FFS,None,"7.25415672091, 47.2388343761","7.27593668501, 47.238704416"
SBB_REC_PON,SBB,13,Sonceboz - Moutier,STRECKE,REC,Reconvilier,PON,Pontenet,20060,Reconvilier,Ident,101,727.5,584006.47,231610.97,None,11,*,Switzerland,*,703,703,SBB CFF FFS,None,"7.2274168208, 47.235224611","7.25415672091, 47.2388343761"
SBB_BAER_LFN,SBB,14,Moutier - Delémont - Ruchfeld,STRECKE,BAER,Bärschwil,LFN,Laufen,29570,Bärschwil,Ident,112,365.3,602890.44,249996.98,None,11,*,Switzerland,None,2611,2611,SBB CFF FFS,None,"7.47691480731, 47.4007853666","7.50263454432, 47.419335266"
SBB_CHZ_DMT,SBB,14,Moutier - Delémont - Ruchfeld,STRECKE,CHZ,Choindez,DMT,Delémont,27028,Courrendlin,Ident,107,465.3,595254.69,241462.88,None,11,*,Switzerland,None,6708,6708,SBB CFF FFS,None,"7.37585526187, 47.3240155939","7.35006510337, 47.3619952677"
SBB_GREL_DUG,SBB,14,Moutier - Delémont - Ruchfeld,STRECKE,GREL,Grellingen,DUG,Duggingen,44462,Grellingen,Ident,115,322.3,611568.07,254510.43,None,11,*,Switzerland,*,2786,2786,SBB CFF FFS,None,"7.59198418209, 47.4412854722","7.60345406346, 47.4534254481"
SBB_SOY_LSB,SBB,14,Moutier - Delémont - Ruchfeld,STRECKE,SOY,Soyhières,LSB,Liesberg,29570,Courroux,div,110,399.5,594873.99,248698.87,None,11,*,Switzerland,None,6724,6709,SBB CFF FFS,None,"7.37073529761, 47.3890953997","7.43897504241, 47.3981954038"
SBB_CCH_CTM,SBB,15,Delémont - Porrentruy - Delle,STRECKE,CCH,Courchavon,CTM,Courtemaîche,13434,Courchavon,Ident,141,406.4,571261.89,254400.35,None,11,None,Switzerland,*,6783,6783,SBB CFF FFS,None,"7.05764743357, 47.4397646858","7.05538722568, 47.4558646535"
SBB_CFV_BSC,SBB,15,Delémont - Porrentruy - Delle,STRECKE,CFV,Courfaivre,BSC,Bassecourt,25762,Haute-Sorne,Ident,121,451.2,588854.62,242701.03,None,11,*,Switzerland,*,6729,6729,SBB CFF FFS,None,"7.29116419612, 47.3350740901","7.24684453496, 47.3366744768"
SBB_CTM_GRA,SBB,15,Delémont - Porrentruy - Delle,STRECKE,CTM,Courtemaîche,GRA,Grandgourt,13271,Basse-Allaine,Ident,127,397.3,571100.17,256191.23,None,11,*,Switzerland,*,6807,6807,SBB CFF FFS,None,"7.05538722568, 47.4558646535","7.04810721307, 47.4699145844"
SBB_POR_CCH,SBB,15,Delémont - Porrentruy - Delle,STRECKE,POR,Porrentruy,CCH,Courchavon,13434,Porrentruy,Ident,126,422.6,572944.98,252295.4,None,11,*,Switzerland,*,6800,6800,SBB CFF FFS,None,"7.08008753372, 47.420904342","7.05764743357, 47.4397646858"
SBB_BF_GIV,SBB,16,Yverdon - Payerne - Fribourg,STRECKE,BF,Belfaux CFF,GIV,Givisiez,17312,Belfaux,Ident,4139,613.3,574632.35,185139.12,None,11,None,Switzerland,*,2175,2175,SBB CFF FFS,None,"7.10623247179, 46.8169181904","7.12886111003, 46.8166289266"
SBB_BOBO_BOMO,SBB,16,Yverdon - Payerne - Fribourg,STRECKE,BOBO,Bossy Bois (embr),BOMO,Bossy Moulins (embr),19724,Corcelles-près-Payerne,Ident,4039,454.1,563516.41,186466.22,None,11,*,Switzerland,None,5816,5816,SBB CFF FFS,None,"6.96047251039, 46.828337681","6.97113256416, 46.8232979028"
SBB_CHS_EST,SBB,16,Yverdon - Payerne - Fribourg,STRECKE,CHS,Cheyres,EST,Estavayer-le-Lac,20594,Cheyres-Châbles,Ident,4131,435.9,550224.87,185294.73,None,11,None,Switzerland,*,2055,2055,SBB CFF FFS,None,"6.78640532553, 46.8169366458","6.84296466098, 46.8444969423"
SBB_YND_CHS,SBB,16,Yverdon - Payerne - Fribourg,STRECKE,YND,Yvonand,CHS,Cheyres,20815,Yvonand,Ident,4130,434.1,547178.56,183534.29,None,11,*,Switzerland,*,5939,5939,SBB CFF FFS,None,"6.74669378237, 46.8008661958","6.78640532553, 46.8169366458"
SBB_CHAT_ECU,SBB,17,Palézieux - Payerne,STRECKE,CHAT,Châtillens,ECU,Ecublens-Rue,22019,Oron,Ident,4017,602.1,552225.99,157884.78,None,11,*,Switzerland,*,5805,5805,SBB CFF FFS,None,"6.81548487997, 46.5705257877","6.81105486223, 46.6104159764"
SBB_PAL_PALV,SBB,17,Palézieux - Payerne,STRECKE,PAL,Palézieux,PALV,Palézieux-Village,22005,Oron,Ident,4014,669.2,553918.81,154784.42,None,11,*,Switzerland,*,5805,5805,SBB CFF FFS,None,"6.83787516645, 46.54275614","6.82834513099, 46.5572358327"
SBB_MUN_GZ,SBB,18,Payerne - Kerzers - Lyss - Büren (ohne Lyss - Busswil),STRECKE,MUN,Muntelier,GZ,Galmiz,27542,Murten,div,4149,434.6,577113.7,198946.42,*,11,None,Switzerland,None,2274,2275,SBB CFF FFS,None,"7.13805048089, 46.9412080192","7.15320028105, 46.9508678703"
SBB_PAY_CN,SBB,18,Payerne - Kerzers - Lyss - Büren (ohne Lyss - Busswil),STRECKE,PAY,Payerne,CN,Corcelles-Nord,17147,Payerne,Ident,4134,452.3,561939.29,185508.89,None,11,*,Switzerland,*,5822,5822,SBB CFF FFS,None,"6.93988291591, 46.8196377755","6.96029239479, 46.8352574395"
SBB_BGG_STU,SBB,20,Madretsch - Lyss - Zollikofen,STRECKE,BGG,Brügg BE,STU,Studen BE,58984,Brügg,Ident,4416,435.9,587827.73,219194.64,None,11,*,Switzerland,*,733,733,SBB CFF FFS,None,"7.27821782075, 47.1236251515","7.30174750033, 47.1104257577"
SBB_BOSS_GRV,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,BOSS,Bossière,GRV,Grandvaux,55166,Lutry,Ident,4003,521.9,543257.11,151204.8,None,11,None,Switzerland,*,5606,5606,SBB CFF FFS,None,"6.69932564007, 46.5097356979","6.72264534771, 46.4969458664"
SBB_FRI_FRPO,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,FRI,Fribourg/Freiburg,FRPO,Fribourg/Freiburg Poya,62920,Fribourg,Ident,4100,628.8,578045.71,183608.14,None,11,*,Switzerland,*,2196,2196,SBB CFF FFS,None,"7.15103253941, 46.803268347","7.15543254749, 46.8146983564"
SBB_GRV_PUI,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,GRV,Grandvaux,PUI,Puidoux-Chexbres,55171,Bourg-en-Lavaux,Ident,4011,565.1,545033.86,149766.44,None,11,None,Switzerland,*,5613,5613,SBB CFF FFS,None,"6.72264534771, 46.4969458664","6.76568515881, 46.4938359448"
SBB_MTR_VG,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,MTR,Matran,VG,Villars-sur-Glâne,68871,Matran,Ident,4029,643.7,573863.26,182030.84,None,11,None,Switzerland,*,2208,2208,SBB CFF FFS,None,"7.09633320452, 46.7889284561","7.11639323003, 46.789828631"
SBB_NEY_ROS,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,NEY,Neyruz,ROS,Rosé,68871,Neyruz (FR),Ident,4027,686.7,571461.21,179498.27,None,11,None,Switzerland,*,2211,2211,SBB CFF FFS,None,"7.06503340971, 46.7660482949","7.06197312822, 46.7826283599"
SBB_OWA_NWA,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,OWA,Oberwangen,NWA,Niederwangen,91444,Köniz,Ident,4117,576,594177.44,195942.59,None,11,None,Switzerland,*,355,355,SBB CFF FFS,None,"7.36219973241, 46.9145589052","7.37644957405, 46.925498829"
SBB_PUI_MRL,SBB,21,Lausanne - Fribourg - Bern Steigerhubel,STRECKE,PUI,Puidoux-Chexbres,MRL,Moreillon,62614,Puidoux,Ident,4012,618,548334.92,149391.43,None,11,*,Switzerland,*,5607,5607,SBB CFF FFS,None,"6.76568515881, 46.4938359448","6.78564514774, 46.5083859121"
SBB_AESP_WANZ,SBB,22,Löchligut/Solothurn - NBS/ABS - Olten,STRECKE,AESP,Aespli,WANZ,Wanzwil (Abzw),77134,Mattstetten,Ident,15299,517.2,606453.54,208597.63,*,11,None,Switzerland,None,543,543,SBB CFF FFS,None,"7.52352831795, 47.0283881692","7.69921504044, 47.1982375479"
SBB_SBN_INKV,SBB,22,Löchligut/Solothurn - NBS/ABS - Olten,STRECKE,SBN,Subingen,INKV,Inkwil (Verzw),12409,Subingen,Ident,227,442.5,613080.53,226966.5,None,11,*,Switzerland,None,2532,2532,SBB CFF FFS,None,"7.61123563653, 47.1935166306","7.6647050734, 47.1954870828"
SBB_WANZ_RTR,SBB,22,Löchligut/Solothurn - NBS/ABS - Olten,STRECKE,WANZ,Wanzwil (Abzw),RTR,Rothrist,89566,Herzogenbuchsee,Ident,8047,458.6,619746.04,227509.69,*,11,None,Switzerland,None,979,979,SBB CFF FFS,None,"7.69921504044, 47.1982375479","7.87938349612, 47.3064376019"
SBB_BFG_ABOW,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,BFG,Bifang AG (Spw),ABOW,Aarburg-Oftringen West (Abzw),40087,Rothrist,Ident,16022,404.9,634572.62,240098.41,*,11,None,Switzerland,None,4282,4282,SBB CFF FFS,None,"7.89584323976, 47.3108576955","7.90686311226, 47.313637852"
SBB_HB_LTHW,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,HB,Herzogenbuchsee,LTHW,Langenthal West (Abzw),32127,Herzogenbuchsee,Ident,8008,464.4,619880.89,226380.56,None,11,*,Switzerland,*,979,979,SBB CFF FFS,None,"7.70094495609, 47.1880773764","7.758244139, 47.2128876148"
SBB_OL_ABO,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,OL,Olten,ABO,Aarburg-Oftringen,85483,Olten,Ident,218,396.4,635440.62,244669.8,None,11,*,Switzerland,*,2581,2581,SBB CFF FFS,None,"7.90768306001, 47.351927754","7.90820312619, 47.3202578152"
SBB_SAAC_LYS,SBB,23,Löchligut - Zollikofen - Burgdorf - Olten,STRECKE,SAAC,Sandacher (Spw),LYS,Lyssach,61587,Lyssach,Ident,15357,519.7,610344,212103.85,None,11,*,Switzerland,None,415,415,SBB CFF FFS,None,"7.57478703099, 47.059877728","7.58131696899, 47.063757754"
SBB_MS_WCH,SBB,24,Wankdorf - Thun,STRECKE,MS,Münsingen,WCH,Wichtrach,80140,Münsingen,Ident,7006,530.5,609208.96,191364.37,None,11,*,Switzerland,*,616,616,SBB CFF FFS,None,"7.55942946087, 46.8733399921","7.56884972336, 46.841610254"
SBB_WCH_KI,SBB,24,Wankdorf - Thun,STRECKE,WCH,Wichtrach,KI,Kiesen,80145,Wichtrach,Ident,7007,530.3,609932.94,187838.15,None,11,*,Switzerland,*,632,632,SBB CFF FFS,None,"7.56884972336, 46.841610254","7.57548991881, 46.8189403695"
SBB_ESCH_SCHH,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,ESCH,Escholzmatt,SCHH,Schüpfheim,27290,Escholzmatt-Marbach,Ident,8210,853,637914.42,196146.35,None,11,*,Switzerland,*,1010,1010,SBB CFF FFS,None,"7.93635394993, 46.9153395344","8.01513344981, 46.9506399133"
SBB_GUES_WB,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,GUES,Gümligen Süd (Abzw),WB,Worb SBB,41237,Allmendingen,div,15643,573.9,606177.12,197241.35,*,11,None,Switzerland,None,356,630,SBB CFF FFS,None,"7.51973926522, 46.9262396321","7.56483894502, 46.9152198498"
SBB_LIT_FMUE,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,LIT,Littau,FMUE,Fluhmühle (Abzw),30539,Luzern,Ident,8219,455.9,662186.54,211660.91,None,11,*,Switzerland,*,1061,1061,SBB CFF FFS,None,"8.25709046926, 47.0530602832","8.28682009777, 47.056590386"
SBB_MAL_LIT,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,MAL,Malters,LIT,Littau,30703,Malters,Ident,8218,496.6,656492.14,209993.25,None,11,*,Switzerland,*,1062,1062,SBB CFF FFS,None,"8.1819413238, 47.0385699244","8.25709046926, 47.0530602832"
SBB_OM_LN,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,OM,Obermatt,LN,Langnau,54170,Langnau im Emmental,div,8240,649.6,623992.88,200033.18,*,11,None,Switzerland,None,903,902,SBB CFF FFS,None,"7.75380637836, 46.9509495683","7.78418619268, 46.9392396463"
SBB_SCUB_EMM,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,SCUB,Schüpbach (Signau),EMM,Emmenmatt,41034,Signau,Ident,16280,669.2,622542.13,197958.66,*,11,None,Switzerland,None,907,907,SBB CFF FFS,None,"7.7346467759, 46.9323397205","7.74728660225, 46.9481496055"
SBB_TSCH_WIG,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,TSCH,Trubschachen,WIG,Wiggen,27300,Trubschachen,Ident,8208,731.8,631037.58,196812.7,None,11,*,Switzerland,*,909,909,SBB CFF FFS,None,"7.84612559814, 46.9216897493","7.90137491503, 46.8998596178"
SBB_WST_SCHA,SBB,26,Gümligen Süd - Fluhmühle,STRECKE,WST,Werthenstein,SCHA,Schachen LU,26034,Ruswil,Ident,8216,553.3,650387.32,211989.77,None,11,None,Switzerland,*,1098,1098,SBB CFF FFS,None,"8.10184151511, 47.057019797","8.1432414656, 47.0379600617"
